"Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"LP002318","Female","No","1","Not Graduate","Yes",3867,0,62,360,"1","Semiurban","N"
"LP002335","Female","Yes","0","Not Graduate","No",2149,3237,178,360,"0","Semiurban","N"
"LP002337","Female","No","0","Graduate","No",2995,0,60,360,"1","Urban","Y"
"LP002341","Female","No","1","Graduate","No",2600,0,160,360,"1","Urban","N"
"LP002367","Female","No","1","Not Graduate","No",4606,0,81,360,"1","Rural","N"
"LP002377","Female","No","1","Graduate","Yes",8624,0,150,360,"1","Semiurban","Y"
"LP002407","Female","Yes","0","Not Graduate","Yes",7142,0,138,360,"1","Rural","Y"
"LP002489","Female","No","1","Not Graduate","",5191,0,132,360,"1","Semiurban","Y"
"LP002502","Female","Yes","2","Not Graduate","",210,2917,98,360,"1","Semiurban","Y"
"LP002534","Female","No","0","Not Graduate","No",4350,0,154,360,"1","Rural","Y"
"LP002582","Female","No","0","Not Graduate","Yes",17263,0,225,360,"1","Semiurban","Y"
"LP002586","Female","Yes","1","Graduate","No",3326,913,105,84,"1","Semiurban","Y"
"LP002603","Female","No","0","Graduate","No",645,3683,113,480,"1","Rural","Y"
"LP002606","Female","No","0","Graduate","No",3159,0,100,360,"1","Semiurban","Y"
"LP002634","Female","No","1","Graduate","No",13262,0,40,360,"1","Urban","Y"
"LP002670","Female","Yes","2","Graduate","No",2031,1632,113,480,"1","Semiurban","Y"
"LP002684","Female","No","0","Not Graduate","No",3400,0,95,360,"1","Rural","N"
"LP002731","Female","No","0","Not Graduate","Yes",18165,0,125,360,"1","Urban","Y"
"LP002741","Female","Yes","1","Graduate","No",4608,2845,140,180,"1","Semiurban","Y"
"LP002743","Female","No","0","Graduate","No",2138,0,99,360,"0","Semiurban","N"
"LP002753","Female","No","1","Graduate","",3652,0,95,360,"1","Semiurban","Y"
"LP002776","Female","No","0","Graduate","No",5000,0,103,360,"0","Semiurban","N"
"LP002804","Female","Yes","0","Graduate","No",4180,2306,182,360,"1","Semiurban","Y"
"LP002813","Female","Yes","1","Graduate","Yes",19484,0,600,360,"1","Semiurban","Y"
"LP002840","Female","No","0","Graduate","No",2378,0,9,360,"1","Urban","N"
"LP002894","Female","Yes","0","Graduate","No",3166,0,36,360,"1","Semiurban","Y"
"LP002917","Female","No","0","Not Graduate","No",2165,0,70,360,"1","Semiurban","Y"
"LP002959","Female","Yes","1","Graduate","No",12000,0,496,360,"1","Semiurban","Y"
"LP002978","Female","No","0","Graduate","No",2900,0,71,360,"1","Rural","Y"
"LP002990","Female","No","0","Graduate","Yes",4583,0,133,360,"0","Semiurban","N"
